City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Chapais,CA,60.58,49.7834,-74.8492,Hôtel Opémiska
4,Bethlehem,BR,84.24,-1.4558,-48.5044,Mercure Belém Boulevard
5,Manta,EC,74.98,-0.95,-80.7333,Balandra Hotel
9,Padang,ID,75.27,-0.9492,100.3543,Mercure Padang
10,Avon Park,US,84.7,27.5959,-81.5062,Econo Lodge Sebring
11,Rawson,AR,62.31,-43.3002,-65.1023,Hosteria Sampedro
12,Lucapa,AO,66.42,-8.4192,20.7447,Lírio Mendes
13,Saint George,US,65.43,37.1041,-113.5841,Best Western Plus Abbey Inn
14,Port Alfred,ZA,62.19,-33.5906,26.891,The Halyards Hotel & Spa
15,Hamilton,US,76.23,39.1834,-84.5333,Six Acres Bed & Breakfast
16,Jamestown,US,71.24,42.097,-79.2353,Hampton Inn & Suites Jamestown
20,Lebu,CL,56.17,-37.6167,-73.65,Hostal Las Lilas
21,Cape Town,ZA,63.12,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
24,Arraial Do Cabo,BR,73.36,-22.9661,-42.0278,Pousada Porto Praia
26,Santiago De Cao,PE,62.73,-7.9589,-79.2392,Casa de la tía
27,Caravelas,BR,72.45,-17.7125,-39.2481,Pousada dos Navegantes
28,Saint-Philippe,RE,69.39,-21.3585,55.7679,Le four à pain
30,Georgetown,MY,78.73,5.4112,100.3354,Cititel Penang
31,Cayenne,GF,82.44,4.9333,-52.3333,Hôtel Le Dronmi
35,Bredasdorp,ZA,60.96,-34.5322,20.0403,Bredasdorp Country Manor
36,Mosquera,CO,62.69,4.7059,-74.2302,Hotel SJ
38,Margate,GB,61.9,51.3813,1.3862,Premier Inn Margate hotel
39,Torbay,CA,56.5,47.6666,-52.7314,Gallows Cove
40,Warri,NG,75.45,5.5167,5.75,GT Guesthouse
42,Mar Del Plata,AR,70.09,-38.0023,-57.5575,Gran Hotel Mar del Plata
43,Hermanus,ZA,58.8,-34.4187,19.2345,Misty Waves Boutique Hotel
45,Huarmey,PE,65.59,-10.0681,-78.1522,Hotel Miramar
46,Christiana,ZA,69.96,-27.914,25.1611,At-Neli Guesthouse
48,Pisco,PE,66.25,-13.7,-76.2167,Hotel San Isidro Oficial
49,Jerusalem,IL,71.8,31.769,35.2163,National Hotel Jerusalem
50,Namibe,AO,68.79,-15.1961,12.1522,Hotel Chik Chik Namibe
53,Kindu,CD,69.28,-2.95,25.95,Résidence Okanda
54,Murfreesboro,US,75.61,35.8456,-86.3903,"Holiday Inn Express Murfreesboro Central, an IHG Hotel"
56,Ballinasloe,IE,57.33,53.3275,-8.2194,Gullane's Hotel
57,Puerto Del Rosario,ES,73.15,28.5004,-13.8627,Hotel JM Puerto del Rosario
58,Port Elizabeth,ZA,65.1,-33.918,25.5701,39 On Nile Guest House
59,Plettenberg Bay,ZA,59.49,-34.0527,23.3716,Thanda Vista B&B
60,Jalu,LY,68.65,29.0331,21.5482,صاحبة الفخامة
63,Surt,LY,73.94,31.2089,16.5887,فندق المدينة
64,Castro,BR,63.12,-24.7911,-50.0119,CHACARA BAILLY
65,Concordia,AR,82.47,-31.393,-58.0209,Palmar Hotel Casino
67,Carnarvon,AU,63.23,-24.8667,113.6333,Hospitality Carnarvon
71,Rocha,UY,60.13,-34.4833,-54.3333,Hotel Arrarte
75,Guarapari,BR,71.89,-20.6667,-40.4975,Hotel Porto do Sol
76,Rusape,ZW,65.44,-18.5278,32.1284,Surrey Lodge
77,Bathsheba,BB,83.01,13.2167,-59.5167,Atlantis Hotel
79,Talara,PE,65.37,-4.5772,-81.2719,Hostal Oro Negro
80,Adeje,ES,74.1,28.1227,-16.726,Gran Tacande Wellness & Relax
84,Sechura,PE,73.11,-5.5569,-80.8222,Hospedaje Costa Bella
85,Cumbitara,CO,70.92,1.6517,-77.5823,ANCIANATO SAN JOSÉ
86,Huicungo,PE,82.87,-7.2833,-76.8,Gran Pajaten Trek
87,Tikrit,IQ,70.5,34.6071,43.6782,عماره العبطه
88,Soyo,AO,77.32,-6.1349,12.3689,Hospedaria ndozi'ame
92,Cidreira,BR,66.16,-30.1811,-50.2056,Hotel Castelo
93,Hithadhoo,MV,82.18,-0.6,73.0833,Scoop Guest House
96,Ribeira Grande,PT,61.77,38.5167,-28.7,Quinta da Meia Eira
98,Victoria,HK,73.45,22.2855,114.1577,Mini Central
99,Galle,LK,77.2,6.0367,80.217,Amangalla
101,Forestville,US,64.22,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
102,Vieste,IT,68.18,41.8825,16.175,Hotel Falcone
103,Yarada,IN,78.67,17.65,83.2667,Yarada Jungle Beach Resorts
104,Bosaso,SO,78.17,11.2842,49.1816,Red Sea Hotel
105,Bambous Virieux,MU,72.21,-20.3428,57.7575,Casa Tia Villa
107,Canto Do Buriti,BR,75.15,-8.11,-42.9444,Novo Hotel
108,Yenagoa,NG,75.49,4.9247,6.2642,Aridolf Resort Wellness and Spa
113,Machico,PT,74.03,32.7,-16.7667,Dom Pedro Madeira Hotel
114,Villazon,BO,63.82,-22.0866,-65.5942,La Candelaria
115,Goderich,CA,68.32,43.7501,-81.7165,Harmony Inn
116,Cap Malheureux,MU,72.46,-19.9842,57.6142,Pereybere Hotel & Spa
117,Emmaus,US,68.29,40.5395,-75.4968,Red Roof Inn Allentown South
118,Male,MV,82.35,4.1748,73.5089,Hotel Octave Maldives
119,Nador,MA,71.85,35.174,-2.9287,Hôtel La Giralda
121,Kingston,JM,83.35,17.997,-76.7936,The Jamaica Pegasus Hotel
122,Imbituva,BR,63.05,-25.23,-50.6044,Hotel Estrela
123,Kubrat,BG,59.77,43.8,26.5,Maksim Gorki
124,Tulum,MX,83.73,20.2167,-87.4667,Kin Ha Tulum
125,Souillac,MU,71.98,-20.5167,57.5167,Shanti Maurice Resort & Spa
129,Sambava,MG,69.6,-14.2667,50.1667,Melrose
130,Kisangani,CD,71.2,0.5167,25.2,Grand Ramela Hotel
131,Camacha,PT,69.22,33.0833,-16.3333,Hotel Porto Santo & Spa
132,Vila Velha,BR,71.94,-20.3297,-40.2925,Hotel Vitória Palace
133,Omboue,GA,77.05,-1.5746,9.2618,Hotel Olako
134,Monrovia,LR,78.62,6.3005,-10.7969,Sunset Inn
135,Mutoko,ZW,65.86,-17.397,32.2268,Suskwe Lodge Mutoko
138,Coquimbo,CL,60.53,-29.9533,-71.3436,Hotel San Juan
140,Rabo De Peixe,PT,63.91,37.8,-25.5833,Quinta das Giestas
141,Laguna,US,76.1,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
142,Taltal,CL,59.86,-25.4,-70.4833,Residencial Karime
